------------ Init ------------
Log file: outputs/phi/Ball/second_phase/log.txt
Args:  Namespace(activate_type=2, action_type='Ball', alpha=1.0, batch=32, beta=0.01, clip_num=68, ckpt='outputs/phi/Ribbon/first_phase/best.pkl', dataset='FS1000', decay_rate=0.01, dropout=0.3, epoch=200, exp_name='second_phase', flow_hidden_dim=256, gpus=[0], hidden_dim=256, in_dim=1024, loss_align=1, lr=0.01, lr_decay='cos', margin=1.0, momentum=0.9, multmoding=False, n_decoder=2, n_encoder=1, n_head=1, n_query=4, optim='sgd', score_type='Total_Score', seed=0, model_name='phi', test=False, test_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/test.txt', train_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/train.txt', video_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/swintx_avg_fps25_clip32', warmup=0, weight_decay=0.0001)
 Random seed: 0
Using device: cuda
-------- Loading data --------
Train data size: 200
 Test data size: 50
------- Loading model --------
PHI...
Load pretrained model from  outputs/phi/Ribbon/first_phase/best.pkl
---------- Training ----------
**** Best model saved, coef: 0.510, rl2: 12.436
Epoch: 0	Loss: 0.2942	Train Coef: 0.394	Test Loss: 0.0745	Test Coef: 0.510	L2: 0.075	RL2: 12.436
**** Best model saved, coef: 0.563, rl2: 5.216
Epoch: 1	Loss: 0.2768	Train Coef: 0.512	Test Loss: 0.0312	Test Coef: 0.563	L2: 0.031	RL2: 5.216
Epoch: 2	Loss: 0.2653	Train Coef: 0.572	Test Loss: 0.0368	Test Coef: 0.540	L2: 0.037	RL2: 6.150
**** Best model saved, coef: 0.586, rl2: 4.656
Epoch: 3	Loss: 0.2617	Train Coef: 0.664	Test Loss: 0.0279	Test Coef: 0.586	L2: 0.028	RL2: 4.656
**** Best model saved, coef: 0.623, rl2: 3.954
Epoch: 4	Loss: 0.2567	Train Coef: 0.684	Test Loss: 0.0237	Test Coef: 0.623	L2: 0.024	RL2: 3.954
**** Best model saved, coef: 0.635, rl2: 4.365
Epoch: 5	Loss: 0.2472	Train Coef: 0.727	Test Loss: 0.0262	Test Coef: 0.635	L2: 0.026	RL2: 4.365
**** Best model saved, coef: 0.669, rl2: 3.854
Epoch: 6	Loss: 0.2495	Train Coef: 0.726	Test Loss: 0.0231	Test Coef: 0.669	L2: 0.023	RL2: 3.854
**** Best model saved, coef: 0.677, rl2: 3.761
Epoch: 7	Loss: 0.2481	Train Coef: 0.758	Test Loss: 0.0225	Test Coef: 0.677	L2: 0.023	RL2: 3.761
**** Best model saved, coef: 0.745, rl2: 2.636
Epoch: 8	Loss: 0.2465	Train Coef: 0.783	Test Loss: 0.0158	Test Coef: 0.745	L2: 0.016	RL2: 2.636
Epoch: 9	Loss: 0.2438	Train Coef: 0.806	Test Loss: 0.0200	Test Coef: 0.676	L2: 0.020	RL2: 3.330
**** Best model saved, coef: 0.747, rl2: 2.741
Epoch: 10	Loss: 0.2455	Train Coef: 0.778	Test Loss: 0.0164	Test Coef: 0.747	L2: 0.016	RL2: 2.741
Epoch: 11	Loss: 0.2502	Train Coef: 0.828	Test Loss: 0.0253	Test Coef: 0.716	L2: 0.025	RL2: 4.229
Epoch: 12	Loss: 0.2456	Train Coef: 0.839	Test Loss: 0.0174	Test Coef: 0.696	L2: 0.017	RL2: 2.900
Epoch: 13	Loss: 0.2467	Train Coef: 0.842	Test Loss: 0.0185	Test Coef: 0.736	L2: 0.018	RL2: 3.085
Epoch: 14	Loss: 0.2456	Train Coef: 0.853	Test Loss: 0.0164	Test Coef: 0.705	L2: 0.016	RL2: 2.738
**** Best model saved, coef: 0.764, rl2: 2.315
Epoch: 15	Loss: 0.2408	Train Coef: 0.852	Test Loss: 0.0139	Test Coef: 0.764	L2: 0.014	RL2: 2.315
Epoch: 16	Loss: 0.2378	Train Coef: 0.844	Test Loss: 0.0148	Test Coef: 0.749	L2: 0.015	RL2: 2.476
**** Best model saved, coef: 0.770, rl2: 2.325
Epoch: 17	Loss: 0.2371	Train Coef: 0.852	Test Loss: 0.0139	Test Coef: 0.770	L2: 0.014	RL2: 2.325
**** Best model saved, coef: 0.781, rl2: 2.026
Epoch: 18	Loss: 0.2411	Train Coef: 0.894	Test Loss: 0.0121	Test Coef: 0.781	L2: 0.012	RL2: 2.026
**** Best model saved, coef: 0.803, rl2: 2.429
Epoch: 19	Loss: 0.2419	Train Coef: 0.823	Test Loss: 0.0145	Test Coef: 0.803	L2: 0.015	RL2: 2.429
Epoch: 20	Loss: 0.2442	Train Coef: 0.893	Test Loss: 0.0165	Test Coef: 0.766	L2: 0.017	RL2: 2.754
Epoch: 21	Loss: 0.2408	Train Coef: 0.870	Test Loss: 0.0131	Test Coef: 0.776	L2: 0.013	RL2: 2.193
Epoch: 22	Loss: 0.2363	Train Coef: 0.866	Test Loss: 0.0192	Test Coef: 0.778	L2: 0.019	RL2: 3.207
**** Best model saved, coef: 0.823, rl2: 1.960
Epoch: 23	Loss: 0.2379	Train Coef: 0.852	Test Loss: 0.0117	Test Coef: 0.823	L2: 0.012	RL2: 1.960
Epoch: 24	Loss: 0.2363	Train Coef: 0.888	Test Loss: 0.0186	Test Coef: 0.758	L2: 0.019	RL2: 3.100
Epoch: 25	Loss: 0.2337	Train Coef: 0.888	Test Loss: 0.0206	Test Coef: 0.805	L2: 0.021	RL2: 3.444
Epoch: 26	Loss: 0.2419	Train Coef: 0.879	Test Loss: 0.0186	Test Coef: 0.768	L2: 0.019	RL2: 3.099
Epoch: 27	Loss: 0.2352	Train Coef: 0.887	Test Loss: 0.0132	Test Coef: 0.810	L2: 0.013	RL2: 2.209
Epoch: 28	Loss: 0.2328	Train Coef: 0.911	Test Loss: 0.0174	Test Coef: 0.762	L2: 0.017	RL2: 2.905
Epoch: 29	Loss: 0.2339	Train Coef: 0.896	Test Loss: 0.0143	Test Coef: 0.806	L2: 0.014	RL2: 2.385
Epoch: 30	Loss: 0.2312	Train Coef: 0.909	Test Loss: 0.0148	Test Coef: 0.795	L2: 0.015	RL2: 2.470
Epoch: 31	Loss: 0.2314	Train Coef: 0.933	Test Loss: 0.0161	Test Coef: 0.813	L2: 0.016	RL2: 2.685
Epoch: 32	Loss: 0.2299	Train Coef: 0.911	Test Loss: 0.0216	Test Coef: 0.810	L2: 0.022	RL2: 3.602
Epoch: 33	Loss: 0.2296	Train Coef: 0.920	Test Loss: 0.0200	Test Coef: 0.785	L2: 0.020	RL2: 3.337
Epoch: 34	Loss: 0.2324	Train Coef: 0.914	Test Loss: 0.0253	Test Coef: 0.807	L2: 0.025	RL2: 4.221
Epoch: 35	Loss: 0.2321	Train Coef: 0.894	Test Loss: 0.0138	Test Coef: 0.761	L2: 0.014	RL2: 2.304
Epoch: 36	Loss: 0.2315	Train Coef: 0.903	Test Loss: 0.0157	Test Coef: 0.807	L2: 0.016	RL2: 2.618
Epoch: 37	Loss: 0.2320	Train Coef: 0.919	Test Loss: 0.0125	Test Coef: 0.771	L2: 0.013	RL2: 2.094
Epoch: 38	Loss: 0.2307	Train Coef: 0.924	Test Loss: 0.0177	Test Coef: 0.804	L2: 0.018	RL2: 2.956
Epoch: 39	Loss: 0.2303	Train Coef: 0.919	Test Loss: 0.0128	Test Coef: 0.786	L2: 0.013	RL2: 2.140
**** Best model saved, coef: 0.827, rl2: 3.820
Epoch: 40	Loss: 0.2305	Train Coef: 0.894	Test Loss: 0.0229	Test Coef: 0.827	L2: 0.023	RL2: 3.820
Epoch: 41	Loss: 0.2329	Train Coef: 0.902	Test Loss: 0.0112	Test Coef: 0.802	L2: 0.011	RL2: 1.865
Epoch: 42	Loss: 0.2322	Train Coef: 0.914	Test Loss: 0.0263	Test Coef: 0.738	L2: 0.026	RL2: 4.384
Epoch: 43	Loss: 0.2323	Train Coef: 0.894	Test Loss: 0.0148	Test Coef: 0.802	L2: 0.015	RL2: 2.476
Epoch: 44	Loss: 0.2329	Train Coef: 0.904	Test Loss: 0.0187	Test Coef: 0.772	L2: 0.019	RL2: 3.130
**** Best model saved, coef: 0.837, rl2: 2.412
Epoch: 45	Loss: 0.2293	Train Coef: 0.920	Test Loss: 0.0144	Test Coef: 0.837	L2: 0.014	RL2: 2.412
Epoch: 46	Loss: 0.2302	Train Coef: 0.914	Test Loss: 0.0207	Test Coef: 0.796	L2: 0.021	RL2: 3.461
Epoch: 47	Loss: 0.2295	Train Coef: 0.941	Test Loss: 0.0145	Test Coef: 0.817	L2: 0.015	RL2: 2.427
Epoch: 48	Loss: 0.2287	Train Coef: 0.928	Test Loss: 0.0204	Test Coef: 0.821	L2: 0.020	RL2: 3.407
Epoch: 49	Loss: 0.2323	Train Coef: 0.905	Test Loss: 0.0219	Test Coef: 0.832	L2: 0.022	RL2: 3.652
Epoch: 50	Loss: 0.2323	Train Coef: 0.908	Test Loss: 0.0143	Test Coef: 0.782	L2: 0.014	RL2: 2.391
Epoch: 51	Loss: 0.2350	Train Coef: 0.859	Test Loss: 0.0199	Test Coef: 0.827	L2: 0.020	RL2: 3.316
Epoch: 52	Loss: 0.2311	Train Coef: 0.909	Test Loss: 0.0186	Test Coef: 0.828	L2: 0.019	RL2: 3.102
Epoch: 53	Loss: 0.2278	Train Coef: 0.943	Test Loss: 0.0149	Test Coef: 0.769	L2: 0.015	RL2: 2.487
